"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310818002021","Commercial","Commercial",,,,,,,,,,,,,,,"0","1,744","1,511","1,164","800","554","334","296","259","299","397","571","1,230","9,159","5",,"22,100",,,,,,,,,,,,,,,"9,159",,"9,159","9,159","9,159","9,159","9,159","22,100",,"22,100","22,100","22,100","22,100","22,100","0","0","6","119","0","0",,"0",,"0"
"Near North Side","170310801004004","Commercial","Commercial","715,681","617,436","394,468","174,066","247,050","277,598","275,899","281,530","161,036","217,122","632,337","948,260","4,942,483","108","8",,,,,,,,,,,,,,,"317,765",,"4,942,483",,"4,942,483","4,942,483","4,942,483","4,942,483","4,942,483","317,765",,"317,765","317,765","317,765","317,765","317,765",,,,,,,,,,,,,,,"158","112","1","0","1.76","90","0.8036","10","0.111","90"
"Near North Side","170310804001003","Residential","Multi < 7","1,959","2,039","1,647","1,504","1,790","3,340","4,368","4,376","2,426","3,208","2,236","3,536","32,429","4","2","1,016","955","608","349","170","78","36","59","35","50","205","740","4,301","4","5,804","5,804","32,429",,"32,429","32,429","32,429","32,429","32,429","5,804",,"5,804","5,804","5,804","5,804","5,804","4,301",,"4,301","4,301","4,301","4,301","4,301","5,804",,"5,804","5,804","5,804","5,804","5,804","36","18","3","116","2","18","1","12","0.667","18"
"Near North Side","170310810005005","Commercial","Commercial",,,,,,,,,,,,,,,"2","2,076","2,296","1,611","738","366","195","69","61","118","583","1,044","2,040","11,197","Less than 4",,"12,259",,,,,,,,,,,,,,,"11,197",,"11,197","11,197","11,197","11,197","11,197","12,259",,"12,259","12,259","12,259","12,259","12,259","299","238","1","0","1.43","209","0.8782","201","0.962","209"
"Near North Side","170310815002006","Commercial","Commercial","1,351,588","1,229,157","943,203","864,062","954,775","985,083","1,126,242","1,088,258","986,930","924,947","1,092,475","1,577,138","13,123,858","27","10",,,,,,,,,,,,,,,"494,300",,"13,123,858",,"13,123,858","13,123,858","13,123,858","13,123,858","13,123,858","494,300",,"494,300","494,300","494,300","494,300","494,300",,,,,,,,,,,,,,,"0","0","40","21","0","0",,"0",,"0"
"Near North Side","170310817001005","Residential","Multi < 7",,,,,,,,,,,,,,,"0","433","383","219","89","12","6","12","14","6","8","88","298","1,568","Less than 4",,"1,200",,,,,,,,,,,,,,,"1,568",,"1,568","1,568","1,568","1,568","1,568","1,200",,"1,200","1,200","1,200","1,200","1,200","10","6","2","129","2","5","0.8332","3","0.6","5"
"Near North Side","170310804003007","Commercial","Multi 7+",,,,,,,,,,,,,,,"1","1,059","1,025","669","365","233","118","98","109","86","94","223","833","4,912","6",,"7,329",,,,,,,,,,,,,,,"4,912",,"4,912","4,912","4,912","4,912","4,912","7,329",,"7,329","7,329","7,329","7,329","7,329","137","62","3","124","2.32","59","0.9516","24","0.407","59"
"Near North Side","170310818002020","Commercial","Commercial","27,754","25,837","21,459","20,345","29,124","40,802","45,831","45,930","33,329","24,268","27,101","33,808","375,588","10","3",,,,,,,,,,,,,,,"4,987",,"375,588",,"375,588","375,588","375,588","375,588","375,588","4,987",,"4,987","4,987","4,987","4,987","4,987",,,,,,,,,,,,,,,"0","0","1","0","0","0",,"0",,"0"
"Near North Side","170310818002032","Commercial","Commercial","7,478","6,775","7,444","7,742","13,667","18,624","19,875","19,744","13,083","10,108","9,169","10,179","143,888","10","4","667","521","323","129","57","2",,,,"6","58","635","2,398","5","36,900","36,900","143,888",,"143,888","143,888","143,888","143,888","143,888","36,900",,"36,900","36,900","36,900","36,900","36,900","2,398",,"2,398","2,398","2,398","2,398","2,398","36,900",,"36,900","36,900","36,900","36,900","36,900","0","0","6","21","0","0",,"0",,"0"
"Near North Side","170310818002045","Commercial","Commercial","37,061","36,801","37,930","39,928","49,012","66,125","60,351","58,491","67,028","42,886","42,315","39,031","576,959","Less than 4","1",,,,,,,,,,,,,,,"58,899",,"576,959",,"576,959","576,959","576,959","576,959","576,959","58,899",,"58,899","58,899","58,899","58,899","58,899",,,,,,,,,,,,,,,"14","8","6","0","1.75","8","1","0","0","8"
"Near North Side","170318422001027","Commercial","Municipal",,,,,,,,,,,,,,,"0","5,681","4,430","3,619","1,821","978","847","830","737","667","949","1,197","3,221","24,977","21",,"22,402",,,,,,,,,,,,,,,"24,977",,"24,977","24,977","24,977","24,977","24,977","22,402",,"22,402","22,402","22,402","22,402","22,402","0","0","1","0","0","0",,"0",,"0"
"Near North Side","170310802023003","Commercial","Multi 7+","290,460","241,299","179,294","106,705","97,222","88,542","99,697","111,323","95,017","144,652","239,181","390,390","2,083,782","82","20",,,,,,,,,,,,,,,"427,319",,"2,083,782",,"2,083,782","2,083,782","2,083,782","2,083,782","2,083,782","427,319",,"427,319","427,319","427,319","427,319","427,319",,,,,,,,,,,,,,,"457","370","19","36","1.41","324","0.8756","132","0.407","324"
"Near North Side","170310814033003","Commercial","Commercial","89,927","81,875","74,669","70,368","75,751","70,550","76,455","70,525","70,903","59,995","73,444","89,284","903,746","4","0",,,,,,,,,,,,,,,"6,762",,"301,248.7","397,476.49","209","209","151,737","751,800","751,800","3,381","701.45","2,885","2,885","3,381","3,877","3,877",,,,,,,,,,,,,,,"140","119","1","0","1.57","89","0.7479","48","0.539","89"
"Near North Side","170310819001009","Commercial","Commercial",,,,,,,,,,,,,,,"1","3,254","3,142","2,759","1,810","1,200","959","867","898","866","1,260","1,963","4,360","23,338","66",,"21,065",,,,,,,,,,,,,,,"353.61","318.30","35","115","235.5","531","1,396","2,340.56","235.28","2,101","2,203","2,223","2,594","2,730","40","36","1","0","2.11","19","0.5278","19","1","19"
"Near North Side","170310819001010","Commercial","Commercial",,,,,,,,,,,,,,,"0","225","242","166","101","80","70","68","60","62","85","66","184","1,409","4",,"2,215",,,,,,,,,,,,,,,"352.25","241.76","147","150","315.5","554.5","631","2,215",,"2,215","2,215","2,215","2,215","2,215","33","16","1","0","3.3","10","0.625","10","1","10"
"Near North Side","170310819001006","Commercial","Commercial",,,,,,,,,,,,,,,"0","2,268","2,384","1,610","941","533","272","185","152","124","155","384","996","10,004","14",,"13,772",,,,,,,,,,,,,,,"714.57","485.62","114","409","568","954","2,043","3,443","733.46","2,739","2,810","3,467","4,076","4,099","53","40","1","0","3.12","17","0.425","17","1","17"
"Near North Side","170310802011006","Commercial","Multi 7+","32,998","25,867","18,797","13,373","15,177","17,441","20,380","20,544","16,125","22,836","31,607","52,193","287,338","20","15",,,,,,,,,,,,,,,"27,966",,"287,338",,"287,338","287,338","287,338","287,338","287,338","27,966",,"27,966","27,966","27,966","27,966","27,966",,,,,,,,,,,,,,,"164","131","6","41","1.37","120","0.9159","95","0.792","120"
"Near North Side","170310817002034","Commercial","Multi < 7","12,279","15,515","9,001","10,154","11,527","11,806","11,819","20,955","14,294","10,314","13,889","17,828","159,381","13","4",,,,,,,,,,,,,,,"3,800",,"159,381",,"159,381","159,381","159,381","159,381","159,381","3,800",,"3,800","3,800","3,800","3,800","3,800",,,,,,,,,,,,,,,"0","0","3","134","0","0",,"0",,"0"
"Near North Side","170310804003007","Commercial","Multi < 7","995","903","405","393","736","941","2,431","1,593","1,673","1,100","1,347","1,778","14,295","5","0","619","609","383","226","123","55","26","19","22","59","152","483","2,776","4","4,735","4,735","14,295",,"14,295","14,295","14,295","14,295","14,295","4,735",,"4,735","4,735","4,735","4,735","4,735","2,776",,"2,776","2,776","2,776","2,776","2,776","4,735",,"4,735","4,735","4,735","4,735","4,735","137","62","3","109","2.32","59","0.9516","24","0.407","59"
"Near North Side","170310803002000","Commercial","Multi 7+",,,,,,,,,,,,,,,"0","1,537","1,433","933","599","481","324","343","340","326","346","483","1,100","8,245","15",,"12,891",,,,,,,,,,,,,,,"8,245",,"8,245","8,245","8,245","8,245","8,245","12,891",,"12,891","12,891","12,891","12,891","12,891","665","552","4","49","1.3","511","0.9257","233","0.456","511"
"Near North Side","170310814031033","Commercial","Commercial","1,312,548","1,277,953","1,274,838","1,072,997","1,261,465","1,154,558","1,308,042","1,245,448","1,157,821","1,146,663","1,290,315","1,518,776","15,021,424","244","39",,,,,,,,,,,,,,,"2,487,086",,"7,510,712","4,843,739.43","4,085,671","4,085,671","7,510,712","10,935,753","10,935,753","1,243,543","81,519.51","1,185,900","1,185,900","1,243,543","1,301,186","1,301,186",,,,,,,,,,,,,,,"0","0","34","11","0","0",,"0",,"0"
"Near North Side","170310819001003","Residential","Multi < 7",,,,,,,,,,,,,,,"3","704","861","606","245","233","126","77","77","75","107","282","851","4,244","8",,"2,940",,,,,,,,,,,,,,,"4,244",,"4,244","4,244","4,244","4,244","4,244","2,940",,"2,940","2,940","2,940","2,940","2,940","134","78","3","0","1.86","72","0.9231","25","0.347","72"
"Near North Side","170310817001005","Commercial","Multi < 7","4,304","3,559","4,298","3,999","4,583","6,646","9,080","7,987","5,786","3,886","4,194","4,793","63,115","5","1",,,,,,,,,,,,,,,"3,969",,"63,115",,"63,115","63,115","63,115","63,115","63,115","3,969",,"3,969","3,969","3,969","3,969","3,969",,,,,,,,,,,,,,,"10","6","3","119","2","5","0.8332","3","0.6","5"
"Near North Side","170310818002012","Commercial","Commercial","19,020","17,640","17,220","17,820","24,180","29,700","31,440","29,940","25,860","19,740","18,300","20,760","271,620","Less than 4","1",,,,,,,,,,,,,,,"7,114",,"271,620",,"271,620","271,620","271,620","271,620","271,620","7,114",,"7,114","7,114","7,114","7,114","7,114",,,,,,,,,,,,,,,"0","0","1","0","0","0",,"0",,"0"
"Near North Side","170310819001000","Commercial","Commercial",,,,,,,,,,,,,,,"0","1,018","1,008","736","465","256","76","50","49","45","44","67","214","4,028","7",,"16,188",,,,,,,,,,,,,,,"575.43","390.10","33","68","734","869","997","4,047","321.32","3,616","3,836","4,091","4,258","4,390","18","154","1","0","3","6","0.039","6","1","6"
"Near North Side","170310818002052","Commercial","Multi 7+","19,565","20,081","21,319","17,150","21,279","19,427","22,810","20,626","22,940","18,291","21,434","22,413","247,335","5","4",,,,,,,,,,,,,,,"16,000",,"247,335",,"247,335","247,335","247,335","247,335","247,335","16,000",,"16,000","16,000","16,000","16,000","16,000",,,,,,,,,,,,,,,"215","145","6","0","1.57","137","0.9448","37","0.27","137"
"Near North Side","170318422001062","Commercial","Commercial","53,019","48,984","51,089","45,242","60,778","72,671","88,543","80,985","61,682","55,482","57,280","59,418","735,173","4","0",,,,,,,,,,,,,,,"40,977",,"367,586.5","88,793.52","304,800","304,800","367,586.5","430,373","430,373","20,488.5","15,714.03","9,377","9,377","20,488.5","31,600","31,600",,,,,,,,,,,,,,,"0","0","1","54.5","0","0",,"0",,"0"
"Near North Side","170310818001010","Commercial","Commercial","186,139","176,332","170,841","156,654","198,430","202,548","211,653","205,484","208,424","182,750","221,408","238,080","2,358,743","232","48",,,,,,,,,,,,,,,"79,869",,"589,685.8","358,012.47","159,179","348,952","584,148","830,419.5","1,031,268","19,967.25","21,506.14","4,201","7,815.5","11,959","32,119","51,750",,,,,,,,,,,,,,,"332","241","1","2.5","1.51","220","0.9129","47","0.214","220"
"Near North Side","170310814011008","Commercial","Commercial","397,655","310,102","255,066","214,360","211,180","236,051","262,478","243,402","243,196","202,044","275,223","519,015","3,369,772","27","2",,,,,,,,,,,,,,,"440,300",,"3,369,772",,"3,369,772","3,369,772","3,369,772","3,369,772","3,369,772","440,300",,"440,300","440,300","440,300","440,300","440,300",,,,,,,,,,,,,,,"0","0","18","22","0","0",,"0",,"0"
"Near North Side","170310803001006","Residential","Multi < 7","2,073","1,608","1,362","1,021","1,116","1,250","5,973","3,554","1,612","1,459","1,572","2,242","24,842","4","2","1,178","1,163","788","438","237","92","54","54","63","125","335","942","5,469","4","3,762","3,762","24,842",,"24,842","24,842","24,842","24,842","24,842","3,762",,"3,762","3,762","3,762","3,762","3,762","5,469",,"5,469","5,469","5,469","5,469","5,469","3,762",,"3,762","3,762","3,762","3,762","3,762","38","21","3","119","1.9","20","0.9523","4","0.2","20"
"Near North Side","170310804001006","Commercial","Commercial","2,650","2,830","2,453","2,767","3,251","3,931","5,089","4,163","2,001","2,066","2,451","2,890","36,542","5","0","896","1,088","796","436","126","80","46","37","34","41","135","721","4,436","5","7,400","7,400","36,542",,"36,542","36,542","36,542","36,542","36,542","7,400",,"7,400","7,400","7,400","7,400","7,400","4,436",,"4,436","4,436","4,436","4,436","4,436","7,400",,"7,400","7,400","7,400","7,400","7,400","163","84","1","100","1.73","80","0.9523","35","0.4379","80"
"Near North Side","170310819001007","Commercial","Commercial",,,,,,,,,,,,,,,"0","2,495","2,490","1,772","1,207","750","457","367","350","299","323","581","1,449","12,540","17",,"16,719",,,,,,,,,,,,,,,"737.65","410.29","82","416","693","920","1,619","4,179.75","66.94","4,113","4,130","4,169","4,229.5","4,268","59","41","1","0","3.28","18","0.439","18","1","18"
"Near North Side","170318422001039","Residential","Single Family","2,836","2,352","1,471","1,208","1,735","3,607","3,781","3,680","1,611","1,547","2,274","3,823","29,925","7","0","506","484","361","153","116","98","75","78","70","87","179","505","2,712","6","2,015","2,015","29,925",,"29,925","29,925","29,925","29,925","29,925","2,015",,"2,015","2,015","2,015","2,015","2,015","2,712",,"2,712","2,712","2,712","2,712","2,712","2,015",,"2,015","2,015","2,015","2,015","2,015","56","30","1","0","2","28","0.9333","13","0.4639","28"
"Near North Side","170310810002005","Commercial","Municipal","7,270","6,912","5,753","4,011","2,744","4,288","3,732","3,682","2,943","2,537","3,508","8,977","56,357","6","3","601","514","335","172","113","65","76","60","54","62","133","474","2,659","4",,"110,400","56,357",,"56,357","56,357","56,357","56,357","56,357",,,,,,,,"2,659",,"2,659","2,659","2,659","2,659","2,659","110,400",,"110,400","110,400","110,400","110,400","110,400","478","296","31","26","1.67","286","0.9662","270","0.944","286"
"Near North Side","170310818002018","Residential","Single Family","4,242","3,195","3,158","3,611","6,772","9,704","13,043","13,841","7,966","5,007","4,431","5,260","80,230","8","6","1,503","1,240","841","485","264","162","172","129","104","150","324","1,175","6,549","9","3,419","3,419","80,230",,"80,230","80,230","80,230","80,230","80,230","3,419",,"3,419","3,419","3,419","3,419","3,419","6,549",,"6,549","6,549","6,549","6,549","6,549","3,419",,"3,419","3,419","3,419","3,419","3,419","158","119","1","0","1.44","110","0.9244","24","0.218","110"
"Near North Side","170310801004008","Commercial","Commercial",,,,,,,,,,,,,,,"0","274","324","236","172","80","44","3","2","2","12","70","167","1,386","4",,"7,884",,,,,,,,,,,,,,,"1,386",,"1,386","1,386","1,386","1,386","1,386","7,884",,"7,884","7,884","7,884","7,884","7,884","9","3","4","0","3","3","1","0","0","3"
"Near North Side","170310804003009","Residential","Multi 7+","4,686","4,242","4,851","3,484","6,432","7,109","8,936","8,089","7,755","5,662","5,547","6,505","73,298","8","1","994","949","641","310","209","181","159","150","99","121","178","728","4,719","8",,"11,651","73,298",,"73,298","73,298","73,298","73,298","73,298",,,,,,,,"2,359.5","167.58","2,241","2,241","2,359.5","2,478","2,478","11,651",,"11,651","11,651","11,651","11,651","11,651","74","45","4","109","1.72","43","0.9556","14","0.326","43"
"Near North Side","170318422001038","Residential","Single Family","3,211","3,083","2,312","2,533","3,404","5,625","6,715","6,368","2,073","1,886","3,134","3,826","44,170","5","1","948","854","597","302","172","115","106","101","105","107","205","690","4,302","5","3,671","3,671","8,834","3,948.95","3,458","7,361","9,429","9,574","14,348","3,671",,"3,671","3,671","3,671","3,671","3,671","860.4","195.14","577","780","908","937","1,100","3,671",,"3,671","3,671","3,671","3,671","3,671","3","2","1","0","1.5","2","1","2","1","2"
"Near North Side","170310819001008","Commercial","Commercial",,,,,,,,,,,,,,,"0","2,123","1,877","1,351","878","596","348","290","208","190","271","485","1,876","10,493","16",,"16,581",,,,,,,,,,,,,,,"655.81","524.67","47","212.5","575","1,050","1,831","4,145.25","51.60","4,088","4,104.5","4,143.5","4,186","4,206","51","54","1","0","3.19","16","0.2963","16","1","16"
"Near North Side","170310804002003","Residential","Multi 7+","2,387","2,839","3,480","3,007","3,494","3,967","6,185","5,967","5,132","2,629","4,546","6,149","49,782","11","2","1,146","1,170","818","582","398","269","170","182","176","242","360","965","6,478","12","8,039","8,039","49,782",,"49,782","49,782","49,782","49,782","49,782","8,039",,"8,039","8,039","8,039","8,039","8,039","6,478",,"6,478","6,478","6,478","6,478","6,478","8,039",,"8,039","8,039","8,039","8,039","8,039","34","16","2","111","2.43","14","0.875","12","0.857","14"
"Near North Side","170310804003009","Commercial","Multi 7+","5,089","4,459","4,818","4,297","6,600","7,508","10,044","8,374","4,815","4,834","5,222","6,761","72,821","6","0","1,074","1,026","665","375","235","119","77","74","65","72","258","823","4,863","5","12,783","12,783","72,821",,"72,821","72,821","72,821","72,821","72,821","12,783",,"12,783","12,783","12,783","12,783","12,783","4,863",,"4,863","4,863","4,863","4,863","4,863","12,783",,"12,783","12,783","12,783","12,783","12,783","74","45","4","13","1.72","43","0.9556","14","0.326","43"
"Near North Side","170310803003004","Commercial","Multi < 7","1,094","1,397","899","729","797","893","4,096","2,133","980","773","833","1,157","15,781","4","2","651","709","473","268","164","73","47","53","23","28","122","526","3,137","4","4,434","4,434","15,781",,"15,781","15,781","15,781","15,781","15,781","4,434",,"4,434","4,434","4,434","4,434","4,434","3,137",,"3,137","3,137","3,137","3,137","3,137","4,434",,"4,434","4,434","4,434","4,434","4,434","145","72","3","129","2.1","69","0.9582","33","0.478","69"
"Near North Side","170310804001007","Commercial","Commercial","808","867","715","1,902","2,962","2,560","3,442","3,470","3,178","2,927","1,698","2,290","26,819","5","2",,,,,,,,,,,,,,,"2,612",,"26,819",,"26,819","26,819","26,819","26,819","26,819","2,612",,"2,612","2,612","2,612","2,612","2,612",,,,,,,,,,,,,,,"122","57","1","4","2.22","55","0.9649","20","0.364","55"
"Near North Side","170310803001004","Commercial","Multi 7+","1,545","1,741","2,929","5,494","3,219","3,532","3,853","8,417","6,519","5,405","4,568","4,587","51,809","6","1","1,498","1,352","948","528","326","147","122","120","98","164","338","1,111","6,752","6","8,442",,"25,904.5","3,037.02","23,757","23,757","25,904.5","28,052","28,052","8,442",,"8,442","8,442","8,442","8,442","8,442","6,752",,"6,752","6,752","6,752","6,752","6,752",,,,,,,,"40","24","3","15","1.9","21","0.875","3","0.143","21"
"Near North Side","170310803003009","Commercial","Commercial","7,369","7,598","8,362","7,873","9,989","12,171","10,891","12,696","10,500","9,633","8,257","10,214","115,553","7","3",,,,,,,,,,,,,,,"4,146",,"115,553",,"115,553","115,553","115,553","115,553","115,553","4,146",,"4,146","4,146","4,146","4,146","4,146",,,,,,,,,,,,,,,"14","8","1","0","1.75","8","1","3","0.375","8"
"Near North Side",,,,"27,406,980","26,268,680","23,232,831","22,007,261","25,755,723","29,267,150","31,307,909","30,795,059","26,535,887","23,786,022","28,091,097","33,744,291","328,198,890","7305","2,463","1,945,695","1,661,273","1,269,263","746,972","547,394","399,757","336,847","334,979","346,300","561,689","1,042,453","1,885,549","11,078,171","309","31,715,999","30,795,451","1,155,630","3,031,810.74","145","30,665","120,188.5","869,575.5","30,713,971","124,866.1","296,764.66","500","4,915","18,286.5","115,236","2,071,586","44,490.65","93,034.03","38","2,694","7,693","34,383","716,213","130,489.2","309,834.57","500","4,874","16,193.5","106,300","2,071,586","67,388","51,372","7.54","36.4","408.76","43,222","0.8414","28,335","0.6556","43,222"
"Near North Side","170310713001002","Commercial","Commercial","58,448","52,889","45,665","39,531","45,899","64,090","63,400","64,717","59,267","45,778","43,771","61,874","645,329","39","5","2,102","1,630","963","467","127","51","90","77","70","74","139","1,355","7,145","9","86,000","86,000","645,329",,"645,329","645,329","645,329","645,329","645,329","86,000",,"86,000","86,000","86,000","86,000","86,000","7,145",,"7,145","7,145","7,145","7,145","7,145","86,000",,"86,000","86,000","86,000","86,000","86,000","43","22","5","119","2.39","18","0.8181","18","1","18"
"Near North Side","170310801001000","Commercial","Commercial","53,721","60,013","50,186","38,905","49,149","68,488","76,359","78,204","44,731","40,148","50,525","61,704","672,133","6","3","12,242","9,694","7,951","4,892","3,105","574","345","878","1,074","3,379","7,250","11,234","62,618","14","70,593","65,359","336,066.5","357,502.58","83,274","83,274","336,066.5","588,859","588,859","35,296.5","42,514.80","5,234","5,234","35,296.5","65,359","65,359","62,618",,"62,618","62,618","62,618","62,618","62,618","65,359",,"65,359","65,359","65,359","65,359","65,359","53","24","8.5","37.5","2.65","20","0.8332","1","0.05","20"
"Near North Side","170310801001000","Residential","Multi < 7","7,841","12,588","7,941","6,224","8,910","20,169","19,754","20,887","12,481","10,550","11,302","12,857","151,504","6","5","4,034","3,988","2,585","1,228","753","391","317","328","294","348","830","3,035","18,131","8","19,603","23,893","25,250.67","13,047.30","9,028","9,565","29,820.5","35,283","37,987","3,920.6","752.04","3,146","3,246","4,049","4,182","4,980","2,590.14","936.88","1,222","1,836","2,600","3,618","3,753","3,982.17","689.34","3,146","3,246","4,115.5","4,290","4,980","53","24","3","99.83","2.65","20","0.8332","1","0.05","20"
"Near North Side","170310801001000","Residential","Single Family","932","876","709","675","666","746","825","782","687","666","773","916","9,253","Less than 4","3","304","257","154","67","34","21","36","45","39","36","72","212","1,277","Less than 4","2,612","2,612","9,253",,"9,253","9,253","9,253","9,253","9,253","2,612",,"2,612","2,612","2,612","2,612","2,612","1,277",,"1,277","1,277","1,277","1,277","1,277","2,612",,"2,612","2,612","2,612","2,612","2,612","53","24","4","0","2.65","20","0.8332","1","0.05","20"
"Near North Side","170310801001001","Commercial","Multi 7+","60,268","65,427","67,067","60,064","76,789","88,473","99,569","106,258","65,637","65,054","61,443","76,369","892,418","19","0","20,681","18,948","14,096","7,297","5,229","1,808","1,476","1,452","1,686","6,896","10,414","17,600","107,583","13","166,817","166,817","297,472.7","343,667.63","71,379","71,379","128,086","692,953","692,953","83,408.5","46,007.90","50,876","50,876","83,408.5","115,941","115,941","35,861","36,291.01","121","121","34,783","72,679","72,679","83,408.5","46,007.90","50,876","50,876","83,408.5","115,941","115,941","134","101","9","88.5","1.68","80","0.792","26","0.325","80"
"Near North Side","170310801001001","Residential","Multi < 7","6,133","6,005","4,830","4,054","4,380","6,338","7,864","8,968","5,150","6,572","7,773","16,628","84,695","12","6","2,495","2,367","1,725","927","636","275","242","184","220","217","622","1,738","11,648","10","13,952","13,952","16,939","5,269.88","9,550","14,446","18,129","18,931","23,639","2,790.4","897.77","1,286","2,808","2,900","3,473","3,485","2,329.6","1,034.33","1,385","1,674","1,908","2,734","3,947","2,790.4","897.77","1,286","2,808","2,900","3,473","3,485","134","101","2.4","94","1.68","80","0.792","26","0.325","80"
"Near North Side","170310801001002","Commercial","Multi < 7","2,753","10,541","4,234","6,142","5,672","6,891","6,218","7,117","6,753","6,702","7,679","19,652","90,354","7","7","890","786","543","358","140","133","30","67","44","74","207","599","3,871","Less than 4","9,336","4,472","45,177","42,150.64","15,372","15,372","45,177","74,982","74,982","4,668","277.19","4,472","4,472","4,668","4,864","4,864","3,871",,"3,871","3,871","3,871","3,871","3,871","4,472",,"4,472","4,472","4,472","4,472","4,472","56","43","3.5","106.5","1.47","38","0.8837","26","0.684","38"
"Near North Side","170310801001002","Residential","Multi < 7","6,016","7,716","6,049","5,031","6,688","7,203","9,766","9,578","8,024","7,833","8,869","13,603","96,376","8","0","2,550","2,460","1,612","899","485","212","184","189","134","225","612","2,029","11,591","4","20,108","20,108","24,094","12,120.46","9,401","14,994.5","24,468.5","33,193.5","38,038","5,027","4,063.03","2,763","2,856","3,116","7,198","11,113","2,897.75","2,078.65","1,478","1,682.5","2,066.5","4,113","5,980","5,027","4,063.03","2,763","2,856","3,116","7,198","11,113","56","43","3.25","107.25","1.47","38","0.8837","26","0.684","38"
"Near North Side","170310801001003","Commercial","Multi 7+","4,320","5,030","8,978","5,222","5,225","8,884","8,358","9,430","7,876","7,559","10,657","6,754","88,293","11","0","1,572","1,558","1,032","545","298","125","80","87","90","112","215","939","6,653","10","15,074","15,074","88,293",,"88,293","88,293","88,293","88,293","88,293","15,074",,"15,074","15,074","15,074","15,074","15,074","6,653",,"6,653","6,653","6,653","6,653","6,653","15,074",,"15,074","15,074","15,074","15,074","15,074","25","18","5","119","1.67","15","0.8332","2","0.133","15"
"Near North Side","170310801001003","Residential","Multi < 7","14,008","13,128","10,940","10,293","9,829","10,381","11,642","24,639","7,269","14,711","19,283","22,284","168,407","8","0","2,441","2,388","1,500","847","514","245","104","343","113","309","448","1,635","10,887","4","25,966","15,214","28,067.83","22,869.09","1,560","12,660","25,949","34,309","67,980","4,327.67","1,029.25","2,580","4,167","4,233.5","5,376","5,376","2,721.75","1,434.59","636","1,803.5","3,208.5","3,640","3,834","3,803.5","816.46","2,580","3,373.5","4,189.5","4,233.5","4,255","25","18","3.17","111.33","1.67","15","0.8332","2","0.133","15"
"Near North Side","170310801001003","Residential","Single Family","8,331","6,492","4,440","3,239","3,579","4,563","5,236","5,009","2,983","3,043","5,704","8,981","61,600","4","0","760","675","539","336","189","107","92","72","66","97","247","685","3,865","Less than 4","10,128","6,893","15,400","15,035.79","722","4,002","12,901","26,798","35,076","2,532","1,191.15","749","1,910.5","3,072","3,153.5","3,235","1,288.33","138.75","1,197","1,197","1,220","1,448","1,448","2,297.67","1,341.18","749","749","3,072","3,072","3,072","25","18","3.25","0","1.67","15","0.8332","2","0.133","15"
