"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310802011006","Residential","Multi < 7","18,973","14,527","12,866","12,516","14,488","18,895","20,491","19,826","14,283","13,335","13,896","17,163","191,259","7","3","4,028","4,199","2,587","1,255","631","204","200","214","209","353","1,077","3,042","17,999","6","25,347","25,347","38,251.8","20,385.90","9,740","35,757","39,241","39,266","67,255","5,069.4","1,589.92","3,735","4,003","4,282","5,800","7,527","3,599.8","1,101.51","2,286","2,976","3,479","4,079","5,179","5,069.4","1,589.92","3,735","4,003","4,282","5,800","7,527","164","131","3","119.6","1.37","120","0.9159","95","0.792","120"
"Near North Side","170310802011006","Residential","Single Family","13,867","10,512","10,346","9,772","12,169","23,562","25,648","26,009","13,313","11,338","13,446","16,454","186,436","20","1","4,462","4,397","2,908","1,440","804","466","374","354","377","454","984","3,432","20,452","22","28,064","28,064","9,321.8","5,156.33","620","5,960.5","9,253","11,555.5","21,123","2,338.67","938.16","1,687","1,851.5","1,928.5","2,536.5","4,850","929.64","381.50","147","656","903","1,188","1,556","2,338.67","938.16","1,687","1,851.5","1,928.5","2,536.5","4,850","164","131","1.08","0","1.37","120","0.9159","95","0.792","120"
"Near North Side","170310802013000","Residential","Multi 7+","47,889","46,755","48,460","42,813","49,257","77,742","77,896","74,454","50,796","50,626","59,918","64,028","690,634","92","8","25,603","20,868","16,445","8,886","5,866","1,999","1,887","1,843","1,980","7,653","13,065","23,208","129,303","Less than 4","106,932","106,932","345,317","448,199.63","28,392","28,392","345,317","662,242","662,242","53,466","70,283.59","3,768","3,768","53,466","103,164","103,164","64,651.5","89,637.81","1,268","1,268","64,651.5","128,035","128,035","53,466","70,283.59","3,768","3,768","53,466","103,164","103,164","310","225","10","84.5","1.59","195","0.8667","26","0.133","195"
"Near North Side","170310802013000","Residential","Multi < 7","36,458","35,431","32,855","26,433","34,809","35,878","34,388","44,993","38,258","29,469","44,107","57,248","450,327","5","1","6,019","5,515","3,759","1,719","1,114","621","454","475","450","1,002","1,468","4,480","27,076","6","34,123","34,123","90,065.4","142,357.40","6,017","18,660","31,430","51,260","342,960","6,824.6","3,472.86","3,860","4,890","5,667","7,022","12,684","5,415.2","2,024.34","3,300","4,275","4,876","6,062","8,563","6,824.6","3,472.86","3,860","4,890","5,667","7,022","12,684","310","225","3","72.4","1.59","195","0.8667","26","0.133","195"
"Near North Side","170310802012000","Commercial","Commercial","77,887","67,396","67,629","60,990","75,889","132,612","130,532","128,802","81,634","65,550","78,498","91,743","1,059,162","Less than 4","0","28,554","22,379","16,557","8,800","4,803","1,853","1,768","1,780","1,921","5,570","13,653","26,195","133,833","Less than 4","199,105","199,105","529,581","227,326.34","368,837","368,837","529,581","690,325","690,325","99,552.5","21,679.19","84,223","84,223","99,552.5","114,882","114,882","66,916.5","26,497.41","48,180","48,180","66,916.5","85,653","85,653","99,552.5","21,679.19","84,223","84,223","99,552.5","114,882","114,882","227","179","12.5","85.5","1.59","143","0.7989","28","0.196","143"
"Near North Side","170310802012000","Commercial","Multi 7+","112,813","103,208","101,525","81,331","114,712","187,772","181,652","165,309","111,732","84,373","114,781","138,573","1,497,781","121","9","20,773","17,335","14,414","7,704","4,157","2,429","1,846","1,890","2,151","6,144","11,971","20,124","110,938","Less than 4","347,712","347,712","748,890.5","376,397.89","482,737","482,737","748,890.5","1,015,044","1,015,044","173,856","46,137.30","141,232","141,232","173,856","206,480","206,480","55,469","3,852.32","52,745","52,745","55,469","58,193","58,193","173,856","46,137.30","141,232","141,232","173,856","206,480","206,480","227","179","17.5","43.5","1.59","143","0.7989","28","0.196","143"
"Near North Side","170310802012000","Commercial","Multi < 7","11,398","10,733","9,987","9,055","10,343","12,983","13,722","13,733","8,934","10,543","12,780","12,547","136,758","12","0","4,907","4,752","3,004","2,528","783","851","184","139","192","430","1,863","3,291","22,924","5","25,130","25,130","68,379","11,237.34","60,433","60,433","68,379","76,325","76,325","12,565","2,793.07","10,590","10,590","12,565","14,540","14,540","11,462","6,532.25","6,843","6,843","11,462","16,081","16,081","12,565","2,793.07","10,590","10,590","12,565","14,540","14,540","227","179","3","46","1.59","143","0.7989","28","0.196","143"
"Near North Side","170310802012001","Commercial","Multi 7+","57,120","52,591","57,619","45,960","60,051","90,399","84,415","83,965","64,058","45,360","62,435","73,390","777,363","109","11","21,633","16,815","12,795","7,336","3,657","1,026","970","1,010","1,015","4,355","10,559","19,379","100,550","4","146,523","146,523","388,681.5","513,059.00","25,894","25,894","388,681.5","751,469","751,469","73,261.5","92,758.97","7,671","7,671","73,261.5","138,852","138,852","50,275","62,281.97","6,235","6,235","50,275","94,315","94,315","73,261.5","92,758.97","7,671","7,671","73,261.5","138,852","138,852","110","110","15.5","79.5","1.31","84","0.7636","45","0.536","84"
"Near North Side","170310810002005","Residential","Single Family","3,155","2,828","2,312","1,537","1,920","5,859","5,364","4,964","2,011","1,925","2,708","6,500","41,083","4","0","1,182","1,188","728","398","179","145","138","135","112","130","272","905","5,512","Less than 4","8,640","8,640","13,694.33","9,282.81","3,515","3,515","15,876","21,692","21,692","2,880","0.00","2,880","2,880","2,880","2,880","2,880","1,837.33","352.76","1,531","1,531","1,758","2,223","2,223","2,880","0.00","2,880","2,880","2,880","2,880","2,880","478","296","1","0","1.67","286","0.9662","270","0.944","286"
"Near North Side","170310802012001","Commercial","Multi < 7","17,400","24,360","21,480","13,980","10,380","12,540","14,700","14,760","12,120","11,520","15,660","46,980","215,880","Less than 4","7","2,322","2,514","1,730","954","494","303","232","216","215","278","580","1,739","11,577","Less than 4","27,039","27,039","107,940","11,964.25","99,480","99,480","107,940","116,400","116,400","13,519.5","9,467.45","6,825","6,825","13,519.5","20,214","20,214","5,788.5","2,431.74","4,069","4,069","5,788.5","7,508","7,508","13,519.5","9,467.45","6,825","6,825","13,519.5","20,214","20,214","110","110","3","114","1.31","84","0.7636","45","0.536","84"
